date,tournament,round,player1_firstname,player1_lastname,player2_firstname,player2_lastname,category,URL
2025-01-26,Australian Open,F,Jannik,Sinner,Alexander,Zverev,ATP,20250126-M-Australian_Open-F-Jannik_Sinner-Alexander_Zverev.html
2025-01-25,Australian Open,F,Aryna,Sabalenka,Madison,Keys,WTA,20250125-W-Australian_Open-F-Aryna_Sabalenka-Madison_Keys.html
2025-01-24,Australian Open,SF,Novak,Djokovic,Alexander,Zverev,ATP,20250124-M-Australian_Open-SF-Novak_Djokovic-Alexander_Zverev.html
2025-01-24,Australian Open,SF,Jannik,Sinner,Ben,Shelton,ATP,20250124-M-Australian_Open-SF-Jannik_Sinner-Ben_Shelton.html
2025-01-23,Australian Open,SF,Paula,Badosa,Aryna,Sabalenka,WTA,20250123-W-Australian_Open-SF-Paula_Badosa-Aryna_Sabalenka.html
2025-01-23,Australian Open,SF,Iga,Swiatek,Madison,Keys,WTA,20250123-W-Australian_Open-SF-Iga_Swiatek-Madison_Keys.html
2025-01-22,Australian Open,QF,Emma,Navarro,Iga,Swiatek,WTA,20250122-W-Australian_Open-QF-Emma_Navarro-Iga_Swiatek.html
2025-01-22,Australian Open,QF,Elina,Svitolina,Madison,Keys,WTA,20250122-W-Australian_Open-QF-Elina_Svitolina-Madison_Keys.html
2025-01-22,Australian Open,QF,Jannik,Sinner,Alex De,Minaur,ATP,20250122-M-Australian_Open-QF-Jannik_Sinner-Alex_De_Minaur.html
2025-01-21,Australian Open,QF,Coco,Gauff,Paula,Badosa,WTA,20250121-W-Australian_Open-QF-Coco_Gauff-Paula_Badosa.html
2025-01-21,Australian Open,QF,Aryna,Sabalenka,Anastasia,Pavlyuchenkova,WTA,20250121-W-Australian_Open-QF-Aryna_Sabalenka-Anastasia_Pavlyuchenkova.html
2025-01-21,Australian Open,QF,Novak,Djokovic,Carlos,Alcaraz,ATP,20250121-M-Australian_Open-QF-Novak_Djokovic-Carlos_Alcaraz.html
2025-01-21,Australian Open,QF,Alexander,Zverev,Tommy,Paul,ATP,20250121-M-Australian_Open-QF-Alexander_Zverev-Tommy_Paul.html
2025-01-20,Australian Open,R16,Iga,Swiatek,Eva,Lys,WTA,20250120-W-Australian_Open-R16-Iga_Swiatek-Eva_Lys.html
2025-01-20,Australian Open,R16,Emma,Navarro,Daria,Kasatkina,WTA,20250120-W-Australian_Open-R16-Emma_Navarro-Daria_Kasatkina.html
2025-01-20,Australian Open,R16,Elina,Svitolina,Veronika,Kudermetova,WTA,20250120-W-Australian_Open-R16-Elina_Svitolina-Veronika_Kudermetova.html
2025-01-20,Australian Open,R16,Elena,Rybakina,Madison,Keys,WTA,20250120-W-Australian_Open-R16-Elena_Rybakina-Madison_Keys.html
2025-01-20,Australian Open,R16,Jannik,Sinner,Holger,Rune,ATP,20250120-M-Australian_Open-R16-Jannik_Sinner-Holger_Rune.html
2025-01-20,Australian Open,R16,Ben,Shelton,Gael,Monfils,ATP,20250120-M-Australian_Open-R16-Ben_Shelton-Gael_Monfils.html
2025-01-19,Australian Open,R16,Coco,Gauff,Belinda,Bencic,WTA,20250119-W-Australian_Open-R16-Coco_Gauff-Belinda_Bencic.html
2025-01-19,Australian Open,R16,Ugo,Humbert,Alexander,Zverev,ATP,20250119-M-Australian_Open-R16-Ugo_Humbert-Alexander_Zverev.html
2025-01-19,Australian Open,R16,Novak,Djokovic,Jiri,Lehecka,ATP,20250119-M-Australian_Open-R16-Novak_Djokovic-Jiri_Lehecka.html
2025-01-18,Australian Open,R32,Yulia,Putintseva,Daria,Kasatkina,WTA,20250118-W-Australian_Open-R32-Yulia_Putintseva-Daria_Kasatkina.html
2025-01-18,Australian Open,R32,Jasmine,Paolini,Elina,Svitolina,WTA,20250118-W-Australian_Open-R32-Jasmine_Paolini-Elina_Svitolina.html
2025-01-18,Australian Open,R32,Iga,Swiatek,Emma,Raducanu,WTA,20250118-W-Australian_Open-R32-Iga_Swiatek-Emma_Raducanu.html
2025-01-18,Australian Open,R32,Eva,Lys,Jaqueline,Cristian,WTA,20250118-W-Australian_Open-R32-Eva_Lys-Jaqueline_Cristian.html
